Code,Site,Latitude,Longititude,TNPP_Original,ANPP_Original,BNPP_Original,Unit,TNPP_unit_unified,ANPP_unit_unified,BNPP_unit_unified,Source,fBNPP,Biome type,Soil order,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,CFRAG,SDTO,STPC,CLPC,BULK,TAWC,ORGC,TOTN,CNrt,PHAQ,CECS,ECEC,CECc,TEB,BSAT,ESP,ALSA,TCEQ,GYPS,ELCO,Aspect,fm,fr1000,fr300,mrRTF,mrVBF,PI,planC,profileC,SD,SP,TPI,TWI,MNPP
687,-,69,89,217,168,49,g/m2/yr,0.217,0.168,0.049,ORNL: NPP_BAZ_575,22.5806452,7,Inceptisols,-10.01666641,7.900000095,15.0190115,1617.981812,19.10000038,-33.5,52.59999847,9.966667175,-13.40000057,10.73333359,-28.36666679,465,57,25,29.51653099,157,77,154,96,4,30,54,16,0.9,22,97.84,7.19,18,5.4,42,21,45,18,83,2,15,0,2,1,40.39283868,0.626994724,4.70096,1.846450857,4.434015751,5.768883705,1.062472759,0.000003,-0.000024,72.14103699,0.690796043,-0.048602695,11.87076465,1.486999989
688,-,69,89,135,83,52,g/m2/yr,0.135,0.083,0.052,ORNL: NPP_BAZ_575,38.5185185,7,Inceptisols,-10.01666641,7.900000095,15.0190115,1617.981812,19.10000038,-33.5,52.59999847,9.966667175,-13.40000057,10.73333359,-28.36666679,465,57,25,29.51653099,157,77,154,96,4,30,54,16,0.9,22,97.84,7.19,18,5.4,42,21,45,18,83,2,15,0,2,1,40.39283868,0.626994724,4.70096,1.846450857,4.434015751,5.768883705,1.062472759,0.000003,-0.000024,72.14103699,0.690796043,-0.048602695,11.87076465,1.486999989
689,-,54,110,104,92,12,g/m2/yr,0.104,0.092,0.012,ORNL: NPP_BAZ_575,11.5384615,6,Inceptisols,-3.570833206,11.14166641,21.18187523,1487.018799,22.10000038,-30.5,52.59999847,12.36666679,-20.35000038,14.33333302,-22.51666641,410,85,6,72.24227905,210,24,205,47,19,55,31,14,1.35,18,32.3,1.82,13,6.5,18,25,40,9,60,2,6,0,3,1,63.01757657,16.10878459,218.4232152,66.81963651,0.000011,0.002637148,0.574159689,-0.00011,-0.000577,116.1468964,14.40477193,-4.611233575,9.221137151,4.269999981
691,-,66,30,158,114,44,g/m2/yr,0.158,0.114,0.044,ORNL: NPP_BAZ_575,27.8481013,6,Spodosols,-0.654166698,8.908332825,23.07858276,1025.797852,19.5,-19.10000038,38.59999847,12.33333302,-7.75,12.33333302,-13.14999962,567,77,28,34.14832687,207,88,207,98,15,41,39,20,0.57,35,301.85,11.46,21,4.8,72,34,62,48,49,1,16,0,0,0,169.2599382,6.194545285,25.73339756,23.74026542,1.351734042,0.68254137,1.233664927,-0.000137,0.000007,93.09814453,9.329604008,-7.466142532,8.217717885,3.907999992
693,-,64,40,242,214,28,g/m2/yr,0.242,0.214,0.028,ORNL: NPP_BAZ_575,11.5702479,6,Histosols,0.808333397,8.216666222,20.96088409,1046.033203,21.39999962,-17.79999924,39.19999695,12.14999962,-10.66666603,13.96666622,-12.13333321,553,71,24,33.97576523,194,79,191,94,16,27,55,18,0.16,45,467.57,16.11,29,4.4,96,28,57,21,27,1,6,0,0,1,163.3185474,4.231152952,28.08881164,14.03864669,1.139695406,0.942633867,1.113396635,-0.000439,0.000127,99.72149658,4.492447331,0.475731991,8.70392071,4.256000042
694,-,60,40,284,248,36,g/m2/yr,0.284,0.248,0.036,ORNL: NPP_BAZ_575,12.6760563,6,Alfisols,2.304166555,7.841666698,21.25112915,1023.557617,21.5,-15.39999962,36.90000153,14.94999981,-8.683333397,14.94999981,-10.39999962,583,75,27,34.71399307,217,87,217,101,2,43,45,12,1.41,20,15.61,1.49,12,5.7,12,13,47,11,77,1,6,0,0,0,57.19810506,7.636839187,55.45590332,27.99687069,0.458183378,0.043354746,1.111558228,0.000494,0.000086,90.606987,8.152330506,3.063154167,6.921345909,4.881000042
695,-,61,44,241,183,58,g/m2/yr,0.241,0.183,0.058,ORNL: NPP_BAZ_575,24.06639,6,Alfisols,1.654166698,7.758333683,20.74420738,1029.107056,21.20000076,-16.20000076,37.40000153,14.5,-4.150000095,14.5,-11.10000038,595,76,27,33.38471603,219,90,219,109,3,34,48,18,1.34,24,69.42,3.51,12,5.1,24,14,46,18,71,2,12,0,0,0,296.6012351,0.392398227,6.132845292,1.437326787,4.297540665,5.597539425,1.153907213,0.000021,-0.000053,103.0021057,0.150051656,-0.135547581,10.31673931,4.438000202
696,-,63,55,236,204,32,g/m2/yr,0.236,0.204,0.032,ORNL: NPP_BAZ_575,13.559322,6,Spodosols,-1.037500024,8.474999428,20.27511978,1144.097778,20.79999924,-21,41.79999924,13.13333321,-7.466666698,13.13333321,-15.39999962,639,72,32,27.89031029,208,99,208,127,1,33,50,17,1.48,22,22.72,2.6,11,5.1,16,12,44,12,72,2,14,0,0,0,351.1544274,3.420634573,18.41827973,9.308598217,0.315946966,3.899100542,1.273976817,0.000009,-0.000032,89.01854706,3.449007986,-0.564487526,8.530655888,3.880000114
698,-,57,33,583,457,126,g/m2/yr,0.583,0.457,0.126,ORNL: NPP_BAZ_575,21.6123499,3,Alfisols,4.5,7.733333111,23.08457756,942.0287476,22.29999924,-11.19999981,33.5,16.11666679,-1.816666722,16.11666679,-7.016666412,684,90,32,34.08865738,251,99,251,126,2,42,46,12,1.39,20,16.33,1.57,12,5.5,12,12,46,11,76,1,8,0,0,0,139.7484638,1.572305701,21.39784473,5.843708831,3.459009171,4.015945435,1.145685743,0.000136,0.000122,119.0339661,1.039147721,3.25532625,7.622108349,5.748000145
699,-,55,30,540,468,72,g/m2/yr,0.54,0.468,0.072,ORNL: NPP_BAZ_575,13.3333333,3,Alfisols,5.454166412,7.708333492,24.94606209,880.8555908,21.79999924,-9.100000381,30.89999962,16.11666679,-0.333333343,16.11666679,-5.433333397,636,85,33,32.13328171,229,105,229,118,3,42,45,13,1.29,22,43.23,2.85,12,5.6,21,18,48,17,75,1,6,0,0,0,111.6100788,0.374072621,12.56601449,1.818385778,5.781487465,2.000065804,1.063149503,-0.000008,-0.000024,124.4553528,0.397986222,-0.046454126,13.120605,5.834000111
